–Т—Л–ґ–Є–ї;P–Ї–ї–∞—Б—Б;–°–µ–Ї—Б;–Т–Њ–Ј—А–∞—Б—В;–°–Є–±—Б–њ;–Я–∞—А—З;–Я—А–Њ–µ–Ј–і–љ–Њ–є –±–Є–ї–µ—В;–Ґ—А–∞–љ—Б–њ–Њ—А—В–љ—Л–µ —А–∞—Б—Е–Њ–і—Л;–Ъ–∞–±–Є–љ–∞;–Ю—В–њ—А–∞–≤–Є–ї—Б—П
0;2;male;1986.0;0;0;SC/Paris 2163;12.875;D;C
0;3;female;1998.0;0;0;349236;1985-08-01 00:00:00;B96 B98;S
0;3;male;1998.0;0;0;349233;8958-07-01 00:00:00;B96 B98;S
0;1;male;1992.3008823529408;0;0;PC 17612;27.7208;B96 B98;C
0;3;male;1998.5;0;0;2693;2292-07-01 00:00:00;B96 B98;C
0;1;female;2020.0;1;2;113781;151.55;C22 C26;S
1;1;male;1992.3008823529408;0;0;19988;2022-05-30 00:00:00;C106;S
1;1;female;1972.0;0;1;PC 17558;247.5208;B58 B60;C
1;3;female;1992.3008823529408;0;0;9234;1975-07-01 00:00:00;B96 B98;Q
1;3;male;1992.3008823529408;2;0;367226;23.25;B96 B98;Q
0;3;male;2003.0;0;0;LINE;0.0;B96 B98;S
1;2;female;1992.3008823529408;0;0;226593;1935-12-01 00:00:00;E101;Q
0;3;male;1992.3008823529408;0;0;A/5 2466;2022-05-08 00:00:00;B96 B98;S
1;1;male;2021.08;1;2;113781;151.55;C22 C26;S
1;1;female;1992.3008823529408;0;0;17421;110.8833;B96 B98;C
1;1;female;2005.0;1;0;PC 17758;108.9;C65;C
0;2;male;1992.0;1;0;P/PP 3381;24.0;B96 B98;C
1;1;female;1992.0;0;0;PC 17485;56.9292;E36;C
1;1;female;1998.0;0;0;11767;83.1583;C54;C
1;1;female;2004.0;2;2;PC 17608;262.375;B57 B59 B63 B66;C
0;2;female;1996.0;1;1;250651;26.0;B96 B98;S
0;3;male;1994.0;0;0;349243;8958-07-01 00:00:00;B96 B98;S
0;2;male;1979.0;1;1;F.C.C. 13529;26.25;B96 B98;S
1;3;female;1996.0;0;0;347470;8542-07-01 00:00:00;B96 B98;S
1;2;female;1998.0;1;0;244367;26.0;B96 B98;S
0;2;male;1968.0;0;0;29011;14.0;B96 B98;S
1;1;female;1991.0;0;2;36928;164.8667;C7;S
1;1;female;1982.0;1;1;16966;134.5;E34;C
0;3;male;2000.0;0;0;A/5 21172;2025-07-01 00:00:00;B96 B98;S
0;3;male;1995.0;0;0;349219;8958-07-01 00:00:00;B96 B98;S
1;2;female;1992.0;0;0;234818;1935-12-01 00:00:00;B96 B98;Q
1;2;female;2000.0;1;1;248738;29.0;B96 B98;S
0;3;male;1992.3008823529408;8;2;CA. 2343;69.55;B96 B98;S
1;1;female;1986.0;0;0;PC 17760;135.6333;C32;C
0;3;male;1961.0;0;0;345364;2375-06-01 00:00:00;B96 B98;S
1;2;female;1986.0;0;0;28551;13.0;D;S
1;3;female;1991.0;1;1;363291;20.525;B96 B98;S
1;1;female;2006.0;0;1;111361;57.9792;B18;C
1;3;female;1992.3008823529408;2;0;367226;23.25;B96 B98;Q
0;1;male;1976.5;0;0;113043;2022-05-28 00:00:00;C124;S
0;1;male;1984.0;0;1;PC 17582;153.4625;C91;S
0;3;male;2006.0;2;0;345764;18.0;B96 B98;S
1;1;female;1992.3008823529408;1;0;PC 17611;133.65;B96 B98;S
0;3;male;1992.3008823529408;0;0;349225;8958-07-01 00:00:00;B96 B98;S
0;1;male;1993.0;1;0;113776;66.6;C2;S
1;1;female;1981.0;0;0;16966;134.5;E40;C
1;3;male;1977.0;0;0;7598;2022-05-08 00:00:00;B96 B98;S
0;1;male;1977.0;0;0;113784;35.5;T;S
1;2;male;2020.0;1;1;230080;26.0;F2;S
1;1;female;1998.0;3;2;19950;263.0;C23 C25 C27;S
0;2;male;1994.0;0;0;248740;13.0;B96 B98;S
0;2;male;1997.0;0;0;244361;13.0;B96 B98;S
0;2;male;1986.0;0;0;229236;13.0;B96 B98;S
1;2;female;1998.0;0;0;248733;13.0;F33;S
1;2;female;1982.0;0;0;31418;13.0;B96 B98;S
1;3;female;1992.3008823529408;1;0;386525;2022-01-16 00:00:00;B96 B98;S
1;3;male;2019.0;1;1;C.A. 37671;2022-09-15 00:00:00;B96 B98;S
0;3;male;1980.0;0;0;315088;6625-08-01 00:00:00;B96 B98;S
0;3;male;1999.0;0;0;7267;9.225;B96 B98;S
0;1;male;1992.3008823529408;0;0;113510;35.0;C128;S
0;3;male;2007.0;1;1;2695;2292-07-01 00:00:00;B96 B98;C
0;3;male;1997.0;1;0;349237;2022-08-17 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;2647;7.225;B96 B98;C
0;3;male;1994.0;0;0;345783;2022-05-09 00:00:00;B96 B98;S
1;1;female;2000.0;0;1;113505;55.0;E33;S
0;2;female;1984.0;0;0;237671;13.0;B96 B98;S
1;3;female;1992.3008823529408;0;0;330931;8792-07-01 00:00:00;B96 B98;Q
1;3;female;1992.3008823529408;0;0;330980;8792-07-01 00:00:00;B96 B98;Q
0;3;male;1982.0;1;4;347088;2022-09-27 00:00:00;B96 B98;S
0;2;male;1993.0;1;0;SC/PARIS 2167;27.7208;B96 B98;C
0;3;female;1977.0;0;1;2691;14.4542;B96 B98;C
0;3;male;1987.0;0;0;SOTON/O.Q. 3101310;2022-05-07 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;1;0;370365;2022-05-15 00:00:00;B96 B98;Q
0;3;male;1992.0;0;0;C 7076;2025-07-01 00:00:00;B96 B98;S
1;1;female;1962.0;1;0;110813;75.25;D37;C
1;3;female;1992.3008823529408;0;0;2626;2292-07-01 00:00:00;B96 B98;C
1;3;female;1992.3008823529408;0;0;14313;1975-07-01 00:00:00;B96 B98;Q
1;1;female;1998.0;0;0;PC 17477;69.3;B35;C
1;1;male;1997.0;1;0;11765;55.4417;E50;C
0;3;male;2004.0;1;0;3101267;4958-06-01 00:00:00;B96 B98;S
0;3;male;2003.0;0;0;323951;2022-05-08 00:00:00;B96 B98;S
0;1;male;2000.0;0;0;PC 17760;135.6333;B96 B98;C
0;3;female;2019.0;3;1;349909;21.075;B96 B98;S
1;1;female;1992.3008823529408;1;0;PC 17604;82.1708;B96 B98;C
1;3;female;2000.0;0;0;C 7077;2025-07-01 00:00:00;B96 B98;S
0;1;male;1995.0;0;2;113503;211.5;C82;C
0;3;male;2002.0;0;0;2648;4.0125;B96 B98;C
0;3;male;2003.0;0;0;347069;7.775;B96 B98;S
1;1;female;1980.0;0;0;PC 17757;227.525;B96 B98;C
1;3;female;2021.0;0;2;2653;15.7417;B96 B98;C
0;3;male;1990.0;0;0;STON/O 2. 3101293;7.925;B96 B98;S
1;1;female;1987.0;1;0;113789;52.0;B96 B98;S
0;3;male;1992.3008823529408;0;0;349227;8958-07-01 00:00:00;B96 B98;S
0;2;male;2004.0;0;0;S.O.C. 14879;73.5;B96 B98;S
0;3;male;2021.0;5;2;CA 2144;46.9;B96 B98;S
1;2;female;1986.0;0;0;27849;13.0;B96 B98;S
0;3;male;1992.3008823529408;0;0;367655;7292-07-01 00:00:00;B96 B98;Q
1;2;female;2005.0;0;0;SC 1748;12.0;B96 B98;C
1;1;male;1986.0;1;2;113760;120.0;B96 B98;S
1;3;male;2001.0;0;0;350034;7958-07-01 00:00:00;B96 B98;S
0;3;male;1994.0;2;0;3101277;7.925;B96 B98;S
1;1;female;1999.0;1;0;35273;113.275;D36;C
1;3;female;1998.0;0;2;PP 9549;2022-07-16 00:00:00;G6;S
0;3;male;2000.0;0;0;350052;7958-07-01 00:00:00;B96 B98;S
0;3;female;1991.0;0;0;350407;8542-07-01 00:00:00;B96 B98;S
0;2;male;1976.0;0;0;28403;26.0;B96 B98;S
0;2;male;1999.0;0;0;244278;2022-05-10 00:00:00;B96 B98;S
1;2;female;1994.0;0;0;240929;1965-12-01 00:00:00;B96 B98;S
1;3;male;1983.0;0;0;STON/O 2. 3101289;7.925;B96 B98;S
0;3;male;1996.0;0;0;341826;2022-05-08 00:00:00;B96 B98;S
0;3;female;2001.0;1;0;4137;9.825;B96 B98;S
0;3;male;1994.0;1;0;STON/O2. 3101279;15.85;B96 B98;S
0;3;female;2002.0;0;0;315096;6625-08-01 00:00:00;B96 B98;S
0;2;male;1988.0;1;0;28664;21.0;B96 B98;S
0;3;male;1971.0;0;0;347064;1975-07-01 00:00:00;B96 B98;S
1;2;male;2019.0;1;1;29106;18.75;B96 B98;S
0;3;male;2001.0;0;0;312992;7.775;B96 B98;S
0;3;female;1992.3008823529408;3;1;4133;25.4667;B96 B98;S
0;3;male;1992.3008823529408;0;0;349222;8958-07-01 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;394140;8583-06-01 00:00:00;B96 B98;Q
1;1;female;1989.0;1;0;19928;90.0;C78;Q
0;2;male;1992.3008823529408;0;0;239853;0.0;B96 B98;S
1;3;male;1978.0;0;0;STON/O 2. 3101269;7.925;B96 B98;S
0;3;female;1992.3008823529408;0;0;343095;2022-05-08 00:00:00;B96 B98;S
1;2;female;1988.0;1;1;28220;32.5;B96 B98;S
1;2;female;2004.0;0;2;250652;13.0;B96 B98;S
0;2;male;1992.0;0;0;28228;13.0;B96 B98;S
0;3;female;2012.0;0;2;345773;24.15;B96 B98;S
0;3;male;1992.3008823529408;0;0;349254;8958-07-01 00:00:00;B96 B98;C
0;3;male;2001.0;0;0;A/5. 13032;7333-07-01 00:00:00;B96 B98;Q
0;3;male;1993.0;0;0;315082;7.875;B96 B98;S
0;3;female;1994.0;1;1;347080;2022-04-14 00:00:00;B96 B98;S
0;3;male;2004.0;1;1;370129;20.2125;B96 B98;S
0;3;male;1992.3008823529408;0;0;A/4. 34244;2025-07-01 00:00:00;B96 B98;S
1;2;female;1994.0;1;0;2003;26.0;B96 B98;S
1;2;female;2003.0;0;0;250655;26.0;B96 B98;S
0;3;male;1992.3008823529408;0;0;364851;1975-07-01 00:00:00;B96 B98;Q
1;3;male;1990.0;0;0;SOTON/O.Q. 392078;2022-05-08 00:00:00;E10;S
1;1;male;1994.0;0;0;110564;26.55;C52;S
1;3;female;1992.3008823529408;1;0;376564;2022-01-16 00:00:00;B96 B98;S
1;2;female;1980.0;1;0;SC/AH 3085;26.0;B96 B98;S
0;3;male;2005.0;0;0;STON/O 2. 3101274;7.125;B96 B98;S
0;1;male;1972.0;1;0;13507;55.9;E44;S
1;1;female;2008.0;1;2;113760;120.0;B96 B98;S
0;3;female;2001.0;2;2;W./C. 6608;34.375;B96 B98;S
1;2;female;1998.0;2;3;29106;18.75;B96 B98;S
0;1;male;1958.0;1;4;19950;263.0;C23 C25 C27;S
0;2;male;1991.0;0;0;C.A. 18723;2022-05-10 00:00:00;B96 B98;S
1;2;female;1977.0;1;1;F.C.C. 13529;26.25;B96 B98;S
0;3;male;2002.0;0;0;345769;2022-05-09 00:00:00;B96 B98;S
0;3;male;1997.0;1;0;347076;7.775;B96 B98;S
1;2;female;1994.0;0;0;230434;13.0;B96 B98;S
1;3;male;1992.3008823529408;0;0;65306;8.1125;B96 B98;S
1;1;male;2018.0;0;2;33638;81.8583;A34;S
1;2;female;2009.0;0;1;250644;2022-05-19 00:00:00;B96 B98;S
1;1;male;1988.0;0;0;113794;26.55;B96 B98;S
1;3;female;2017.0;2;1;2666;19.2583;B96 B98;C
1;1;male;1970.0;0;0;113786;2022-05-30 00:00:00;C104;S
0;2;male;1986.0;1;2;C.A. 34651;27.75;B96 B98;S
0;3;male;1992.3008823529408;1;0;65303;19.9667;B96 B98;S
0;1;male;1992.0;0;0;113051;27.75;C111;C
1;1;male;1973.0;1;0;17453;89.1042;C92;C
0;3;male;1992.3008823529408;0;0;A/5 2817;2022-05-08 00:00:00;B96 B98;S
1;3;male;1993.0;0;0;349240;8958-07-01 00:00:00;B96 B98;C
0;1;male;1957.0;0;0;13509;26.55;E38;S
1;1;female;1992.3008823529408;1;0;17464;51.8625;D21;S
1;2;female;1972.0;0;0;F.C.C. 13531;2022-05-10 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;371060;1975-07-01 00:00:00;B96 B98;Q
1;1;male;1974.0;0;0;19952;26.55;E12;S
0;3;male;1988.0;0;0;364506;2022-05-08 00:00:00;B96 B98;S
0;1;male;1975.0;0;0;111320;38.5;E63;S
0;2;male;1974.0;0;0;234360;13.0;B96 B98;S
0;3;male;1992.3008823529408;0;0;A/S 2816;2022-05-08 00:00:00;B96 B98;S
0;3;male;1984.0;0;0;SOTON/O.Q. 3101306;2022-05-07 00:00:00;B96 B98;S
0;2;male;1992.3008823529408;0;0;239853;0.0;B96 B98;S
0;1;male;1966.0;0;0;113792;26.55;B96 B98;S
0;3;male;1992.3008823529408;0;0;36209;7.725;B96 B98;Q
1;3;female;2021.25;2;1;2666;19.2583;B96 B98;C
0;3;male;1992.3008823529408;0;0;323592;2025-07-01 00:00:00;B96 B98;S
0;3;male;1984.0;0;0;315089;6625-08-01 00:00:00;B96 B98;S
1;2;female;1989.0;1;2;C.A. 34651;27.75;B96 B98;S
1;2;female;1999.0;0;0;SC/AH Basle 541;13.7917;D;C
0;3;female;2000.0;0;0;7553;8375-09-01 00:00:00;B96 B98;S
0;1;male;1992.3008823529408;0;0;110465;52.0;A14;S
0;2;male;1988.0;1;0;31027;21.0;B96 B98;S
0;3;male;1993.0;1;0;3460;7.0458;B96 B98;S
0;3;male;2000.0;0;0;350060;5208-07-01 00:00:00;B96 B98;S
1;3;female;2020.0;0;1;3101298;2875-12-01 00:00:00;B96 B98;S
0;3;male;2013.0;5;2;CA 2144;46.9;B96 B98;S
0;2;male;1992.3008823529408;0;0;239854;0.0;B96 B98;S
0;3;male;1972.0;0;0;A/5 3594;2022-05-08 00:00:00;B96 B98;S
1;3;female;1959.0;0;0;4134;5875-09-01 00:00:00;B96 B98;S
1;1;male;1997.0;1;0;11967;91.0792;B49;C
0;3;female;1992.3008823529408;3;1;4133;25.4667;B96 B98;S
1;1;female;1987.0;1;0;19943;90.0;C93;S
0;1;male;1964.0;0;0;11771;2022-07-29 00:00:00;B37;C
0;3;male;1992.0;0;0;A.5. 18509;2022-05-08 00:00:00;B96 B98;S
1;3;male;2013.0;1;1;C.A. 37671;2022-09-15 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;1;0;65304;19.9667;B96 B98;S
0;3;male;2001.0;0;0;SOTON/OQ 3101317;2025-07-01 00:00:00;B96 B98;S
0;1;male;1967.0;0;0;113787;2022-05-30 00:00:00;C30;S
0;1;male;1951.0;0;0;PC 17609;49.5042;B96 B98;C
0;3;male;2001.0;0;0;A/4 45380;2022-05-08 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;2627;14.4583;B96 B98;C
1;1;female;1968.0;1;0;36947;78.2667;D20;C
0;3;male;1992.3008823529408;0;0;C.A. 6212;2022-01-15 00:00:00;B96 B98;S
0;1;female;1997.0;1;2;113781;151.55;C22 C26;S
0;3;male;1998.0;0;0;350035;7958-07-01 00:00:00;B96 B98;S
0;3;male;2005.0;0;0;315086;6625-08-01 00:00:00;B96 B98;S
0;3;female;2001.0;0;0;364846;1975-07-01 00:00:00;B96 B98;Q
0;3;female;1992.3008823529408;0;0;330909;6292-07-01 00:00:00;B96 B98;Q
0;3;female;1985.0;0;0;4135;5875-09-01 00:00:00;B96 B98;S
1;1;female;2006.0;0;0;110152;86.5;B79;S
0;1;male;2004.0;1;0;PC 17758;108.9;C65;C
1;2;female;1989.0;0;2;26360;26.0;B96 B98;S
1;1;male;1992.3008823529408;0;0;111427;26.55;B96 B98;S
0;3;male;1994.0;0;0;C 4001;22.525;B96 B98;S
1;3;male;1996.0;0;0;1601;56.4958;B96 B98;S
1;3;male;1993.0;0;0;382651;1975-07-01 00:00:00;B96 B98;Q
0;3;male;1992.3008823529408;0;0;SOTON/OQ 3101316;2022-05-08 00:00:00;B96 B98;S
1;1;male;1986.0;0;0;PC 17473;26.2875;E25;S
1;1;female;1968.0;1;0;PC 17603;59.4;B96 B98;C
0;3;male;1998.0;0;0;349209;4958-07-01 00:00:00;B96 B98;S
0;1;male;1975.0;0;0;36967;34.0208;D46;S
1;2;female;1988.0;0;0;C.A. 34260;2022-05-10 00:00:00;F33;S
0;3;male;1992.3008823529408;0;0;371110;24.15;B96 B98;Q
1;2;female;1986.0;1;0;226875;26.0;B96 B98;S
0;3;male;1990.0;0;0;349242;8958-07-01 00:00:00;B96 B98;S
1;1;female;1992.0;0;0;12749;93.5;B73;S
0;3;male;2000.0;0;0;349252;8958-07-01 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;2624;7.225;B96 B98;C
1;1;female;1978.0;0;1;111361;57.9792;B18;C
0;3;male;1992.3008823529408;0;0;2700;2292-07-01 00:00:00;B96 B98;C
0;3;male;1981.5;0;0;367232;1975-07-01 00:00:00;B96 B98;Q
1;2;female;1972.0;0;0;W./C. 14258;2022-05-10 00:00:00;B96 B98;S
0;1;male;1992.3008823529408;0;0;PC 17483;221.7792;C95;S
0;3;male;1983.0;0;0;3101296;7.925;B96 B98;S
0;2;male;1999.0;2;1;29104;2022-05-11 00:00:00;B96 B98;S
1;2;female;2020.0;1;1;26360;26.0;B96 B98;S
0;3;male;1992.3008823529408;0;0;2641;2292-07-01 00:00:00;B96 B98;C
0;3;male;2005.0;1;1;2690;2292-07-01 00:00:00;B96 B98;C
1;3;female;1992.3008823529408;0;2;2668;22.3583;B96 B98;C
0;3;female;1992.0;0;0;315084;6625-08-01 00:00:00;B96 B98;S
1;2;female;2015.0;0;2;F.C.C. 13529;26.25;B96 B98;S
0;1;male;1977.0;0;0;113050;26.55;B38;S
1;1;female;1992.0;0;0;PC 17761;106.425;B96 B98;C
0;3;male;1992.3008823529408;0;0;364498;2022-05-14 00:00:00;B96 B98;S
1;1;female;2000.0;0;2;13568;49.5;B39;C
1;1;female;1986.0;0;2;WE/P 5735;71.0;B22;S
0;3;female;2013.0;4;2;347082;31.275;B96 B98;S
0;3;female;2011.0;4;2;347082;31.275;B96 B98;S
1;2;male;1990.0;1;0;2908;26.0;B96 B98;S
0;1;male;1972.0;1;0;PC 17761;106.425;C86;C
0;1;male;1958.0;0;0;693;26.0;B96 B98;S
1;2;female;2003.0;1;0;2908;26.0;B96 B98;S
1;2;male;1992.3008823529408;0;0;SC/PARIS 2146;13.8625;B96 B98;C
0;3;male;1989.0;1;1;363291;20.525;B96 B98;S
1;2;male;2014.0;1;1;C.A. 33112;36.75;B96 B98;S
1;1;male;2005.0;0;2;17421;110.8833;C70;C
0;2;male;1995.0;0;0;244358;26.0;B96 B98;S
0;3;male;1992.3008823529408;0;0;330979;8292-07-01 00:00:00;B96 B98;Q
1;3;male;2000.0;0;0;2620;7.225;B96 B98;C
1;3;female;2000.0;0;0;347085;7.775;B96 B98;S
0;1;male;1960.0;0;0;113807;26.55;B96 B98;S
1;1;female;1974.0;1;0;11755;39.6;A16;C
0;1;male;1992.3008823529408;0;0;PC 17757;227.525;B96 B98;C
1;1;female;1983.0;1;1;110413;79.65;E67;S
1;3;female;1986.0;1;0;345572;2022-04-17 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;372622;1975-07-01 00:00:00;B96 B98;Q
0;3;male;1982.0;0;0;349251;8958-07-01 00:00:00;B96 B98;S
0;2;male;1994.0;0;0;218629;2022-05-13 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;SOTON/OQ 392082;2022-05-08 00:00:00;B96 B98;S
0;3;female;1992.3008823529408;0;0;SOTON/O.Q. 392087;2022-05-08 00:00:00;B96 B98;S
0;3;male;1998.0;2;0;A/4 48871;24.15;B96 B98;S
0;3;male;2003.0;0;0;349205;8958-07-01 00:00:00;B96 B98;S
0;3;female;1993.0;0;4;349909;21.075;B96 B98;S
0;3;male;1992.3008823529408;0;0;2686;2292-07-01 00:00:00;B96 B98;C
1;3;male;1990.0;0;0;350417;8542-07-01 00:00:00;B96 B98;S
1;2;male;1960.0;0;0;S.W./PP 752;2022-05-10 00:00:00;B96 B98;S
1;1;female;1969.0;2;0;11769;51.4792;C101;S
1;1;male;1986.0;0;0;PC 17474;26.3875;E25;S
1;3;female;1992.3008823529408;0;0;14312;1975-07-01 00:00:00;B96 B98;Q
0;3;male;2006.0;0;0;A/4. 20589;2022-05-08 00:00:00;B96 B98;S
0;3;male;2003.0;0;0;358585;2022-05-14 00:00:00;B96 B98;S
1;2;female;1988.0;0;0;243880;13.0;B96 B98;S
1;1;female;1983.0;1;0;13507;55.9;E44;S
0;3;female;1992.3008823529408;1;0;2689;14.4583;B96 B98;C
1;3;male;1990.0;0;0;STON/O 2. 3101286;7.925;B96 B98;S
1;2;female;1997.0;1;1;237789;30.0;B96 B98;S
1;1;female;1983.0;1;1;17421;110.8833;C68;C
0;2;male;1968.0;0;0;28403;26.0;B96 B98;S
0;1;male;1986.0;0;0;13049;40.125;A10;C
0;3;male;1992.3008823529408;0;0;3411;7125-08-01 00:00:00;B96 B98;C
1;1;female;2004.0;0;2;110413;79.65;E68;S
0;2;male;1975.0;0;0;237565;15.0;B96 B98;S
1;1;male;1962.0;1;1;13567;79.2;B41;C
0;3;male;2000.0;0;0;14973;2022-05-08 00:00:00;B96 B98;S
